,CPT/HCPCS Code,Description,Number of Procedures,Average Charges/Procedure,Explore These Claims
1.,66984,Cataract surgery w/intraocular implant 1 stage,939706,$2869,Explore This Code
2.,43239,Esophagogastroduodenoscopy w/biopsy,818663,$1645,Explore This Code
3.,45380,Colonoscopy and biopsy,714440,$2417,Explore This Code
4.,45385,Colonoscopy w/lesion removal,537534,$1711,Explore This Code
5.,20610,Arthrocentesis aspiration and/or injection major joint or bursa,479423,$284,Explore This Code
6.,45378,Diagnostic colonoscopy,444726,$1748,Explore This Code
7.,36415,Routine venipuncture,309851,$15,Explore This Code
8.,67028,Injection eye drug,239291,$525,Explore This Code
9.,64483,Injection(s) anesthetic agent and/or steroid transforaminal epidural with imaging guidance,220014,$1927,Explore This Code
10.,66821,Discission of secondary membranous cataract,199618,$1002,Explore This Code
11.,64493,Injection to paravertebral facet joint lmbar/ sacral spine 1 lev,155509,$2017,Explore This Code
12.,62323,Injection(s) of diagnostic or therapeutic subÂ­stance(s) lumbar/sacral spine,148340,$1590,Explore This Code
13.,64494,Injection to paravertebral facet joint lmbar/ sacral spine 2 lev,119804,$1446,Explore This Code
14.,64415,Nerve block injection brachial plexus,100289,$1251,Explore This Code
15.,64636,Paravertebral facet joint nerve destruction,93202,$2013,Explore This Code
16.,69436,Create eardrum opening,92433,$2812,Explore This Code
17.,64484,Injection into foramen epidural add-on,92029,$1469,Explore This Code
18.,64635,Paravertebral facet joint nerve destruction single facent joint,85461,$2721,Explore This Code
19.,66982,Cataract surgery complex,74897,$3118,Explore This Code
20.,29881,Knee arthroscopy/surgery,73505,$5021,Explore This Code
21.,43235,Esophagogastroduodenoscopy diagnostic brush wash,72863,$1157,Explore This Code
22.,20611,Arthrocentesis aspiration and/or injection major joint or bursa w/ ultrasound,70056,$378,Explore This Code
23.,20550,Injection into tendon sheath/ligament,69345,$204,Explore This Code
24.,17000,Destruction of benign or premalignant lesion,68440,$120,Explore This Code
25.,29826,Shoulder arthroscopy/surgery,67527,$4310,Explore This Code